id,Bestellnummer,Menge,EAN,Name,Variante,Kategorie,L3-EK (privat),Aufschlag Standard,Aufschlag Minimum,VK
CAT00099,"=""1201492""",,"=""4262445579152""",Geekvape Sonder Q Pod Kit,"=""blue-whisper""",Pods,,25%,15%,
CAT00100,"=""1201493""",,"=""4262445579183""",Geekvape Sonder Q Pod Kit,"=""stellar-white""",Pods,,25%,15%,
CAT00101,"=""LM101005""",,"=""4262403384064""",Lost Mary BM600 CP Einweg E-Zigarette - Cherry Ice,"=""20mg""",Einweg,,25%,15%,
CAT00102,"=""LM101009""",,"=""4262403384101""",Lost Mary BM600 CP Einweg E-Zigarette - Grape,"=""20mg""",Einweg,,25%,15%,
CAT00103,"=""LM101010""",,"=""4262403384118""",Lost Mary BM600 CP Einweg E-Zigarette - Peach Ice (ehem. Juicy Peach),"=""20mg""",Einweg,,25%,15%,
CAT00104,"=""LM101013""",,"=""4262403384149""",Lost Mary BM600 CP Einweg E-Zigarette - Marygy Ice,"=""20mg""",Einweg,,25%,15%,
CAT00105,"=""LM101015""",,"=""4262403384163""",Lost Mary BM600 CP Einweg E-Zigarette - Pineapple Ice,"=""20mg""",Einweg,,25%,15%,
CAT00106,"=""LM101018""",,"=""4262403384194""",Lost Mary BM600 CP Einweg E-Zigarette - Red Apple Ice,"=""20mg""",Einweg,,25%,15%,
CAT00107,"=""LMB101005""",,"=""4262403384309""",Lost Mary BM600 CP Einweg E-Zigarette - Cherry Ice (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00108,"=""LMB101009""",,"=""4262403384347""",Lost Mary BM600 CP Einweg E-Zigarette - Grape (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00109,"=""LMB101010""",,"=""4262403384354""",Lost Mary BM600 CP Einweg E-Zigarette - Peach Ice (ehem. Juicy Peach) (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00110,"=""LMB101013""",,"=""4262403384385""",Lost Mary BM600 CP Einweg E-Zigarette - Marygy Ice (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00111,"=""LMB101015""",,"=""4262403384408""",Lost Mary BM600 CP Einweg E-Zigarette - Pineapple Ice (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00112,"=""LMB101018""",,"=""4262403384439""",Lost Mary BM600 CP Einweg E-Zigarette - Red Apple Ice (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00113,"=""LMB4001005""",,"=""4262403384545""",Lost Mary BM600 CP Einweg E-Zigarette - Cherry Ice (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00114,"=""LMB4001009""",,"=""4262403384583""",Lost Mary BM600 CP Einweg E-Zigarette - Grape (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00115,"=""LMB4001010""",,"=""4262403384590""",Lost Mary BM600 CP Einweg E-Zigarette - Peach Ice (ehem. Juicy Peach) (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00116,"=""LMB4001013""",,"=""4262403384620""",Lost Mary BM600 CP Einweg E-Zigarette - Marygy Ice (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00117,"=""LMB4001015""",,"=""4262403384644""",Lost Mary BM600 CP Einweg E-Zigarette - Pineapple Ice (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00118,"=""LMB4001018""",,"=""4262403384675""",Lost Mary BM600 CP Einweg E-Zigarette - Red Apple Ice (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00119,"=""ELFL10001""",,"=""4895261109816""",ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00120,"=""ELFL10002""",,"=""4895261110317""",ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00121,"=""ELFL10005""",,"=""4895261109861""",ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00122,"=""ELFL10006""",,"=""4895261110362""",ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00123,"=""ELFL10007""",,"=""4895261109854""",ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00124,"=""ELFL10008""",,"=""4895261110355""",ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00125,"=""ELFL10009""",,"=""4895261109878""",ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00126,"=""ELFL10010""",,"=""4895261110379""",ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00127,"=""ELFL10013""",,"=""4895261109922""",ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00128,"=""ELFL10014""",,"=""4895261110423""",ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00129,"=""ELFL10015""",,"=""4895261109953""",ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00130,"=""ELFL10016""",,"=""4895261110454""",ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00131,"=""ELFL10017""",,"=""4895261109984""",ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00132,"=""ELFL10018""",,"=""4895261110485""",ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00133,"=""ELFL10025""",,"=""4895261110027""",ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00134,"=""ELFL10026""",,"=""4895261110522""",ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00135,"=""ELFL10027""",,"=""4895261110010""",ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00136,"=""ELFL10028""",,"=""4895261110515""",ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00137,"=""ELFL10029""",,"=""4895261110058""",ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00138,"=""ELFL10030""",,"=""4895261110553""",ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00139,"=""EFL101001""",,"=""4895261110065""",ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00140,"=""EFL101002""",,"=""4895261110560""",ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00141,"=""EFL101005""",,"=""4895261110119""",ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00142,"=""EFL101006""",,"=""4895261110614""",ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00143,"=""EFL101007""",,"=""4895261110102""",ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00144,"=""EFL101008""",,"=""4895261110607""",ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00145,"=""EFL101009""",,"=""4895261110126""",ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00146,"=""EFL101010""",,"=""4895261110621""",ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00147,"=""EFL101013""",,"=""4895261110171""",ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00148,"=""EFL101014""",,"=""4895261110676""",ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00149,"=""EFL101015""",,"=""4895261110201""",ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00150,"=""EFL101016""",,"=""4895261110706""",ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00151,"=""EFL101017""",,"=""4895261110232""",ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00152,"=""EFL101018""",,"=""4895261110737""",ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00153,"=""EFL101025""",,"=""4895261110270""",ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00154,"=""EFL101026""",,"=""4895261110775""",ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
